ZIP,latgym,longym,Gym,Address,UserRating
33114.0,25.791434,-80.212504,Calderon Moren Rossana M MD,"1611 Northwest 12th Avenue # 233, Miami",1
33114.0,na,na,Landa-Galindez Amalia M MD,"1611 Northwest 12th Avenue # 233, Miami",na
33114.0,na,na,Rosales Leo E MD,"1611 Northwest 12th Avenue # 233, Miami",na
33114.0,25.771538,-80.23163029999999,Thunder Gym,"59 Beacom Boulevard, Miami",24
33114.0,25.7796569,-80.223461,POWER GYM,"1710 NW South River Dr #202, Miami",27
33114.0,25.765386,-80.225644,Arena Combat Sports /Kickboxing /BJJ /MMA / Boxing,"1852 Southwest 8th Street, Miami",24
33114.0,25.78296,-80.210639,Forrest Pilates,"936 Northwest 9th Court, Miami",4
33114.0,na,na,OM Holistic,"2207 Northwest 23rd Avenue, Miami",na
33114.0,na,na,DeiFit - Chair Yoga & Meditation Classes for Silver Sneakers and Medica Members 4 Locations,"Northwest North River Drive, Miami",na
33114.0,25.7957679,-80.2318524,"GYM IFBB PRO IRAMIS. 35 dollars al mes sin contrato, Entrenamiento Personal 20 dolares 1 hr. Ofrecemos Clases Boot Camp , Stepper Class.. 😁💪🙏","2060 Northwest 22nd Avenue, Miami",71
33114.0,25.7982696,-80.2201864,THENX Fitness Studio,"1412 Northwest 23rd Street, Miami",29
33114.0,25.7871651,-80.21294379999999,UHealth Fitness & Wellness Center,"1120 Northwest 14th Street 9th Floor, Miami",97
33114.0,na,na,Forrest Energy,"1751 West Flagler Street, Miami",na
33114.0,na,na,Universal Health Services Inc,"955 Northwest 3rd Street, Miami",na
33114.0,25.7716203,-80.2315735,US Kyokushin Karate Fighting Gym,"49 Beacom Boulevard, Miami",16
33114.0,25.792416,-80.20273999999999,Wynwood Wrestling,"Williams Park, 1717 Northwest 5 Avenue, Miami",2
33114.0,25.7774732,-80.2060006,Ferrino Sports Fitness Club : Downtown Miami,"341 Northwest South River Drive, Miami",33
33114.0,25.800621,-80.20483,Wynwood Yoga,"584 Northwest 26th Street, Miami",24
33114.0,25.7675035,-80.22843209999999,Gomez Park,"2037 Southwest 6th Street, Miami",3
33114.0,25.802992,-80.204228,Bodytek Fitness Wynwood - Miami,"545 Northwest 28th Street, Miami",51
33114.0,25.8030721,-80.2042682,VIXEN WORKOUT,"547 Northwest 28th Street, Miami",17
33114.0,25.801596,-80.20201,JetSet Miami,"401 Northwest 26th Street, Miami",30
33114.0,25.8137076,-80.2344864,Yoga Inbound,"4136 Northwest 23rd Avenue, Miami",2
33114.0,25.7650215,-80.23086959999999,Morphē Health & Fitness Studio,"810 Southwest 22nd Avenue, (Park in Rear), Miami",16
33114.0,25.779697,-80.251796,Herbalife,"711 Northwest 35th Avenue, Miami",52
33114.0,25.779653,-80.25178439999999,Zumba,"711 Northwest 35th Avenue, Miami",13
33114.0,25.7959534,-80.1986802,Republic of Movement,"2021 Northwest 2nd Avenue, Miami",7
33114.0,25.7992881,-80.1997567,Milan Pole Dance Studio - Miami,"250 Northwest 23rd Street #408, Miami",63
33114.0,25.773565,-80.20294299999999,CrossFit Ambush Miami,"500 West Flagler Street, Miami",123
33114.0,25.79765739999999,-80.2270557,Panama boxing Studio,"1851 Northwest 22nd Street, Miami",3
33114.0,25.7956905,-80.23191349999999,Iramis Portero,"2060 Northwest 22nd Avenue, Miami",1
33114.0,na,na,Baseball Fields,Miami,na
33114.0,na,na,Team Life Fitness,"Northwest 23rd Avenue, Miami",na
33114.0,25.7953996,-80.23545879999999,Crunch Time Inc.,"2065 Northwest 24th Avenue, Miami",1
33114.0,25.7978971,-80.2190303,Les Ailes du Désir (LADD) | Miami Contemporary Circus School,"1395 Northwest 22nd Street, Miami",4
33114.0,25.77813189999999,-80.2214982,Estadio,"Marlins Way, Miami",4
33114.0,na,na,Panama Boxing Studio,Miami,na
33114.0,25.7796513,-80.2121969,Gym in Miami,"1031 Northwest 6 Street, Miami",2
33114.0,na,na,Healthy Live Center Corporation,"1800 Southwest 1st Street, Miami",na
33114.0,na,na,Kyokuyama Fighting Gym,"Beacom Boulevard, Miami",na
33114.0,25.7793182,-80.2076482,Spring Garden Point Park,"601 Northwest 7th Street Road, Miami",1
33114.0,na,na,RGH Community Services Inc,"1756 Southwest 8th Street #202, Miami",na
33114.0,25.8131647,-80.2249506,Showtime Boxing Gym,"4110 Northwest 17th Avenue, Miami",1
33114.0,na,na,Friends Fitness Club,"1749 Southwest 8th Street, Miami",na
33114.0,na,na,"BOACO FIRE STOP, INC.","1749 Southwest 8th Street, Miami",na
33114.0,25.7652434,-80.2309734,Fitness Lovers 305,"2206 Southwest 8th Street, Miami",69
33114.0,25.8083823,-80.2076027,Kenergy Pilates,"3416 Northwest 7th Avenue, Miami",2
33114.0,na,na,Miami Flying Trapeze,"936 Northwest 2nd Avenue, Miami",na
33114.0,25.79616799999999,-80.1983,Katie Sonier Gym,"2035 Northwest 1st Place, Miami",7
33114.0,25.7959109,-80.19816709999999,Hybrid Performance Method Gym - Miami,"2021 Northwest 1st Place, Miami",10
33114.0,25.7894545,-80.19727519999999,Solid Foundation Fitness,"129 Northwest 15th Street, Miami",3
33114.0,na,na,Boom Boom Sport Fitness,"816 Southwest 12th Court, Miami",na
33002.0,25.865403,-80.29575899999999,LA Fitness,"630 West 49th Street, Hialeah",356
33002.0,25.8583046,-80.32050679999999,LA Fitness,"1901 West 39th Street, Hialeah",254
33002.0,25.8580684,-80.3136111,Pacheco's Physique Gym,"1545 West 40th Street, Hialeah",29
33002.0,25.8647264,-80.32532250000001,Caution Crossfit,"9905 Northwest 79th Avenue, Hialeah",41
