,,,North,0.021399901,,South,-0.021399901,,East,,0.023518703,West,,-0.023518703,NE,0.021399901,0.023518703,SW,-0.021399901,-0.023518703,SE,-0.021399901,0.023518703,NW,0.021399901,-0.023518703
zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi
33114,25.7897333,-80.2259474,33114,25.8111332,-80.2259474,33114,25.7683334,-80.2259474,33114,25.7897333,-80.2024287,33114,25.7897333,-80.2494661,33114,25.8111332,-80.2024287,33114,25.7683334,-80.2494661,33114,25.7683334,-80.2024287,33114,25.8111332,-80.2494661
33002,25.8665814,-80.3043337,33002,25.8879813,-80.3043337,33002,25.8451815,-80.3043337,33002,25.8665814,-80.280815,33002,25.8665814,-80.3278524,33002,25.8879813,-80.280815,33002,25.8451815,-80.3278524,33002,25.8451815,-80.280815,33002,25.8879813,-80.3278524
33018,25.9231399,-80.3992652,33018,25.9445398,-80.3992652,33018,25.90174,-80.3992652,33018,25.9231399,-80.3757465,33018,25.9231399,-80.4227839,33018,25.9445398,-80.3757465,33018,25.90174,-80.4227839,33018,25.90174,-80.3757465,33018,25.9445398,-80.4227839
33017,25.9410503,-80.3007769,33017,25.9624502,-80.3007769,33017,25.9196504,-80.3007769,33017,25.9410503,-80.2772582,33017,25.9410503,-80.3242956,33017,25.9624502,-80.2772582,33017,25.9196504,-80.3242956,33017,25.9196504,-80.2772582,33017,25.9624502,-80.3242956
33016,25.8925211,-80.3352364,33016,25.913921,-80.3352364,33016,25.8711212,-80.3352364,33016,25.8925211,-80.3117177,33016,25.8925211,-80.3587551,33016,25.913921,-80.3117177,33016,25.8711212,-80.3587551,33016,25.8711212,-80.3117177,33016,25.913921,-80.3587551
33015,25.9358702,-80.3268812,33015,25.9572701,-80.3268812,33015,25.9144703,-80.3268812,33015,25.9358702,-80.3033625,33015,25.9358702,-80.3503999,33015,25.9572701,-80.3033625,33015,25.9144703,-80.3503999,33015,25.9144703,-80.3033625,33015,25.9572701,-80.3503999
33014,25.9109586,-80.3045967,33014,25.9323585,-80.3045967,33014,25.8895587,-80.3045967,33014,25.9109586,-80.281078,33014,25.9109586,-80.3281154,33014,25.9323585,-80.281078,33014,25.8895587,-80.3281154,33014,25.8895587,-80.281078,33014,25.9323585,-80.3281154
33013,25.8618743,-80.2711588,33013,25.8832742,-80.2711588,33013,25.8404744,-80.2711588,33013,25.8618743,-80.2476401,33013,25.8618743,-80.2946775,33013,25.8832742,-80.2476401,33013,25.8404744,-80.2946775,33013,25.8404744,-80.2476401,33013,25.8832742,-80.2946775
33012,25.8641207,-80.3045967,33012,25.8855206,-80.3045967,33012,25.8427208,-80.3045967,33012,25.8641207,-80.281078,33012,25.8641207,-80.3281154,33012,25.8855206,-80.281078,33012,25.8427208,-80.3281154,33012,25.8427208,-80.281078,33012,25.8855206,-80.3281154
33011,25.824762,-80.2793268,33011,25.8461619,-80.2793268,33011,25.8033621,-80.2793268,33011,25.824762,-80.2558081,33011,25.824762,-80.3028455,33011,25.8461619,-80.2558081,33011,25.8033621,-80.3028455,33011,25.8033621,-80.2558081,33011,25.8461619,-80.3028455
33010,25.839203,-80.2823063,33010,25.8606029,-80.2823063,33010,25.8178031,-80.2823063,33010,25.839203,-80.2587876,33010,25.839203,-80.305825,33010,25.8606029,-80.2587876,33010,25.8178031,-80.305825,33010,25.8178031,-80.2587876,33010,25.8606029,-80.305825
33092,25.52,-80.42,33092,25.5413999,-80.42,33092,25.4986001,-80.42,33092,25.52,-80.3964813,33092,25.52,-80.4435187,33092,25.5413999,-80.3964813,33092,25.4986001,-80.4435187,33092,25.4986001,-80.3964813,33092,25.5413999,-80.4435187
33090,25.4766273,-80.4764375,33090,25.4980272,-80.4764375,33090,25.4552274,-80.4764375,33090,25.4766273,-80.4529188,33090,25.4766273,-80.4999562,33090,25.4980272,-80.4529188,33090,25.4552274,-80.4999562,33090,25.4552274,-80.4529188,33090,25.4980272,-80.4999562
33039,25.4860421,-80.3909164,33039,25.507442,-80.3909164,33039,25.4646422,-80.3909164,33039,25.4860421,-80.3673977,33039,25.4860421,-80.4144351,33039,25.507442,-80.3673977,33039,25.4646422,-80.4144351,33039,25.4646422,-80.3673977,33039,25.507442,-80.4144351
33035,25.4308762,-80.3992652,33035,25.4522761,-80.3992652,33035,25.4094763,-80.3992652,33035,25.4308762,-80.3757465,33035,25.4308762,-80.4227839,33035,25.4522761,-80.3757465,33035,25.4094763,-80.4227839,33035,25.4094763,-80.3757465,33035,25.4522761,-80.4227839
33034,25.291986,-80.610489,33034,25.3133859,-80.610489,33034,25.2705861,-80.610489,33034,25.291986,-80.5869703,33034,25.291986,-80.6340077,33034,25.3133859,-80.5869703,33034,25.2705861,-80.6340077,33034,25.2705861,-80.5869703,33034,25.3133859,-80.6340077
33031,25.5305322,-80.4882672,33031,25.5519321,-80.4882672,33031,25.5091323,-80.4882672,33031,25.5305322,-80.4647485,33031,25.5305322,-80.5117859,33031,25.5519321,-80.4647485,33031,25.5091323,-80.5117859,33031,25.5091323,-80.4647485,33031,25.5519321,-80.5117859
33032,25.5232393,-80.3769999,33032,25.5446392,-80.3769999,33032,25.5018394,-80.3769999,33032,25.5232393,-80.3534812,33032,25.5232393,-80.4005186,33032,25.5446392,-80.3534812,33032,25.5018394,-80.4005186,33032,25.5018394,-80.3534812,33032,25.5446392,-80.4005186
33030,25.4802746,-80.5271756,33030,25.5016745,-80.5271756,33030,25.4588747,-80.5271756,33030,25.4802746,-80.5036569,33030,25.4802746,-80.5506943,33030,25.5016745,-80.5036569,33030,25.4588747,-80.5506943,33030,25.4588747,-80.5036569,33030,25.5016745,-80.5506943
