zip,Gyms per Zip
33114,20
33002,5
33018,0
33017,0
33016,6
33015,0
33014,1
33013,1
33012,3
33011,2
33010,2
33092,1
33090,0
33039,0
33035,0
33034,0
33031,0
33032,0
33030,0
33033,2
33149,0
33181,7
33182,13
33183,1
33184,2
33185,1
33186,6
33187,0
33188,8
33189,0
33190,0
33180,4
33179,7
33178,0
33166,3
33167,0
33168,0
33169,2
33172,8
33173,6
33174,4
33175,9
33176,1
33177,0
33165,7
33193,4
33194,0
33247,0
33255,20
33256,13
33257,1
33261,10
33265,5
33266,2
33269,3
33280,5
33283,5
33245,20
33243,15
33242,5
33196,8
33197,8
33199,5
33206,20
33222,3
33231,4
33233,6
33234,3
33238,5
33299,12
33296,1
33164,12
33101,2
33130,14
33131,0
33132,20
3313,1
33134,2
33135,8
33136,8
33137,0
33138,4
33129,14
33128,11
33127,11
33102,8
33106,3
33111,0
33112,17
33116,1
33122,4
33124,9
33125,5
33126,0
33170,0
33156,1
33158,0
33157,1
33161,18
33155,7
33162,14
33153,13
33152,5
33151,17
33150,5
33163,5
33142,1
33143,3
33144,1
33145,20
33146,20
33147,0
33159,0
33109,0
33139,13
33141,5
33154,0
33140,0
33119,0
33239,5
33056,2
33160,0
33055,0
33054,1
