zip,Gyms per Zip
33114,14
33002,1
33018,0
33017,4
33016,6
33015,5
33014,0
33013,2
33012,1
33011,0
33010,9
33092,2
33090,4
33039,0
33035,0
33034,0
33031,0
33032,0
33030,0
33033,3
33149,19
33181,2
33182,2
33183,2
33184,2
33185,0
33186,20
33187,0
33188,6
33189,0
33190,0
33180,10
33179,4
33178,0
33166,4
33167,0
33168,0
33169,1
33172,8
33173,3
33174,3
33175,0
33176,1
33177,1
33165,4
33193,1
33194,0
33247,1
33255,13
33256,10
33257,4
33261,13
33265,7
33266,0
33269,5
33280,16
33283,4
33245,5
33243,3
33242,9
33196,0
33197,2
33199,2
33206,2
33222,2
33231,14
33233,2
33234,0
33238,17
33299,0
33296,0
33164,0
33101,20
33130,1
33131,0
33132,0
3313,0
33134,5
33135,18
33136,20
33137,15
33138,14
33129,1
33128,14
33127,20
33102,6
33106,2
33111,3
33112,0
33116,0
33122,5
33124,18
33125,13
33126,7
33170,0
33156,0
33158,0
33157,3
33161,4
33155,2
33162,0
33153,20
33152,7
33151,5
33150,3
33163,16
33142,8
33143,0
33144,12
33145,7
33146,2
33147,1
33159,3
33109,0
33139,0
33141,0
33154,10
33140,20
33119,7
33239,20
33056,2
33160,1
33055,3
33054,0
