zip,latit,longi,Gyms per Zip
33114,25.7897333,-80.2259474,6
33002,25.8665814,-80.3043337,3
33018,25.9231399,-80.3992652,0
33017,25.9410503,-80.3007769,5
33016,25.8925211,-80.3352364,17
33015,25.9358702,-80.3268812,7
33014,25.9109586,-80.30459669999999,7
33013,25.8618743,-80.2711588,2
33012,25.8641207,-80.30459669999999,3
33011,25.824762,-80.27932679999999,8
33010,25.839203,-80.2823063,3
33092,25.52,-80.42,2
33090,25.4766273,-80.4764375,8
33039,25.4860421,-80.3909164,0
33035,25.4308762,-80.3992652,0
33034,25.291986,-80.610489,0
33031,25.5305322,-80.4882672,0
33032,25.5232393,-80.3769999,0
33030,25.4802746,-80.52717559999999,0
33033,25.4921341,-80.43674209999999,0
33149,25.7138002,-80.1596041,0
33181,25.9003878,-80.1484407,0
33182,25.7825806,-80.3992652,0
33183,25.6950625,-80.4048306,0
33184,25.756402,-80.402048,1
33185,25.733888,-80.4604643,0
33186,25.6653934,-80.3992652,6
33187,25.5994424,-80.4660256,0
33188,25.8,-80.31,2
33189,25.5734243,-80.3380213,3
33190,25.5527232,-80.3352364,0
33180,25.9581433,-80.13727569999999,7
33179,25.9502474,-80.1930859,1
33178,25.8433674,-80.4326521,1
33166,25.8235041,-80.3101684,3
33167,25.8830363,-80.2377078,0
33168,25.8897406,-80.20703280000001,0
33169,25.9400585,-80.2153998,0
33172,25.7858514,-80.360297,1
33173,25.7038331,-80.360297,4
33174,25.7616792,-80.34915989999999,4
33175,25.7357116,-80.3992652,1
33176,25.6624457,-80.3547286,0
33177,25.595058,-80.3992652,0
33165,25.7327581,-80.3547286,0
33193,25.6987264,-80.4604643,0
33194,25.7143625,-80.610489,0
33247,25.8349354,-80.2413493,1
33255,25.7889689,-80.2264393,6
33256,25.6656979,-80.3240206,3
33257,25.6037698,-80.3498123,2
33261,25.87916,-80.19413,0
33265,25.73,-80.36,2
33266,25.8212225,-80.2833698,7
33269,25.9455627,-80.2053667,1
33280,25.9502736,-80.1488255,17
33283,25.6906724,-80.38336989999999,7
33245,25.7506483,-80.22401769999999,5
33243,25.7061206,-80.2901289,20
33242,25.8021455,-80.2255572,6
33196,25.6697865,-80.4660256,0
33197,25.5961,-80.35995,11
33199,25.7538975,-80.3770443,3
33206,25.7215467,-80.26835,1
33222,25.7328724,-80.24158659999999,20
33231,25.73,-80.3,4
33233,25.728011,-80.2454223,17
33234,25.73,-80.24,20
33238,25.8523457,-80.1945365,8
33299,25.7715786,-80.1460348,9
33296,25.66,-80.36,0
33164,25.93,-80.18,3
33101,25.7783254,-80.1990136,11
33130,25.7667897,-80.20703280000001,11
33131,25.76528,-80.1847167,13
33132,25.7700009,-80.1679758,1
33133,25.7307897,-80.2377078,20
33134,25.7564662,-80.2711588,2
33135,25.7686714,-80.2349196,9
33136,25.7870967,-80.2042436,9
33137,25.8207159,-80.1819268,7
33138,25.8558416,-80.1819268,11
33129,25.7564471,-80.2056382,6
33128,25.7767549,-80.20284889999999,12
33127,25.8105183,-80.2042436,6
33102,25.8,-80.31,2
33106,25.6946761,-80.4489929,8
33111,25.77,-80.19,20
33112,25.7967843,-80.3850751,1
33116,25.6634615,-80.4813173,0
33122,25.8035656,-80.3185252,6
33124,25.7499745,-80.25996529999999,20
33125,25.7862401,-80.2349196,3
33126,25.778647,-80.2962385,1
33170,25.6052352,-80.5549561,0
33156,25.6579955,-80.2878794,0
33158,25.6387878,-80.3073826,0
33157,25.6085924,-80.3380213,0
33161,25.8909628,-80.1819268,3
33155,25.7360194,-80.3157397,19
33162,25.9260794,-80.1819268,3
33153,25.865518,-80.1934589,4
33152,25.7932231,-80.3171325,4
33151,25.8321804,-80.20972499999999,1
33150,25.8487631,-80.20703280000001,1
33163,25.95,-80.14999999999999,15
33142,25.8127791,-80.2377078,1
33143,25.6993807,-80.29345219999999,20
33144,25.7621935,-80.3129541,3
33145,25.7534663,-80.22655449999999,5
33146,25.7213213,-80.2711588,3
33147,25.84791,-80.2377078,3
33159,25.77,-80.19,20
33109,25.7560139,-80.1344842,0
33139,25.783312,-80.1484407,11
33141,25.8535635,-80.1484407,4
33154,25.8871575,-80.1261093,9
33140,25.8176795,-80.13727569999999,6
33119,25.7842281,-80.1321792,20
33239,25.789985,-80.1399824,20
33056,25.9595052,-80.2432839,1
33160,25.9347377,-80.13727569999999,7
33055,25.9445817,-80.2823063,0
33054,25.9126818,-80.2432839,1
