zip,Gyms per Zip
33114,20
33002,1
33018,0
33017,0
33016,3
33015,7
33014,0
33013,0
33012,1
33011,2
33010,2
33092,0
33090,2
33039,0
33035,0
33034,0
33031,1
33032,0
33030,0
33033,2
33149,0
33181,4
33182,8
33183,7
33184,8
33185,2
33186,4
33187,0
33188,1
33189,0
33190,0
33180,0
33179,5
33178,0
33166,7
33167,0
33168,3
33169,1
33172,13
33173,2
33174,5
33175,2
33176,5
33177,1
33165,13
33193,8
33194,0
33247,2
33255,20
33256,0
33257,0
33261,7
33265,10
33266,3
33269,1
33280,1
33283,5
33245,9
33243,1
33242,20
33196,4
33197,0
33199,4
33206,15
33222,2
33231,0
33233,4
33234,1
33238,1
33299,7
33296,15
33164,18
33101,2
33130,20
33131,1
33132,19
3313,1
33134,18
33135,12
33136,8
33137,0
33138,0
33129,4
33128,13
33127,6
33102,1
33106,2
33111,1
33112,13
33116,0
33122,1
33124,18
33125,10
33126,3
33170,0
33156,0
33158,0
33157,0
33161,18
33155,2
33162,20
33153,4
33152,0
33151,17
33150,19
33163,1
33142,2
33143,2
33144,5
33145,11
33146,18
33147,1
33159,1
33109,0
33139,17
33141,10
33154,0
33140,4
33119,0
33239,1
33056,0
33160,5
33055,0
33054,1
