zip,Gyms per Zip
33114,0
33002,14
33018,0
33017,0
33016,1
33015,0
33014,7
33013,1
33012,9
33011,1
33010,6
33092,0
33090,0
33039,4
33035,0
33034,0
33031,0
33032,0
33030,0
33033,0
33149,0
33181,4
33182,0
33183,4
33184,0
33185,0
33186,3
33187,0
33188,6
33189,11
33190,2
33180,5
33179,2
33178,0
33166,1
33167,1
33168,0
33169,0
33172,9
33173,1
33174,8
33175,4
33176,6
33177,2
33165,7
33193,0
33194,0
33247,2
33255,0
33256,1
33257,1
33261,0
33265,5
33266,1
33269,0
33280,6
33283,1
33245,6
33243,20
33242,1
33196,0
33197,0
33199,0
33206,1
33222,20
33231,2
33233,20
33234,20
33238,0
33299,0
33296,8
33164,2
33101,7
33130,9
33131,12
33132,20
3313,20
33134,1
33135,0
33136,3
33137,4
33138,0
33129,10
33128,9
33127,2
33102,6
33106,0
33111,8
33112,0
33116,0
33122,4
33124,1
33125,1
33126,9
33170,0
33156,11
33158,6
33157,0
33161,1
33155,9
33162,1
33153,0
33152,6
33151,3
33150,0
33163,6
33142,3
33143,17
33144,9
33145,3
33146,3
33147,2
33159,8
33109,0
33139,0
33141,5
33154,8
33140,0
33119,0
33239,0
33056,0
33160,5
33055,3
33054,0
