zip,Gyms per Zip
33114,3
33002,0
33018,0
33017,0
33016,5
33015,0
33014,5
33013,1
33012,0
33011,4
33010,1
33092,0
33090,0
33039,1
33035,0
33034,0
33031,0
33032,0
33030,0
33033,1
33149,3
33181,18
33182,0
33183,0
33184,0
33185,0
33186,3
33187,0
33188,4
33189,0
33190,3
33180,14
33179,1
33178,0
33166,2
33167,1
33168,1
33169,1
33172,18
33173,4
33174,5
33175,2
33176,3
33177,0
33165,6
33193,0
33194,0
33247,3
33255,3
33256,13
33257,10
33261,0
33265,7
33266,4
33269,4
33280,5
33283,1
33245,15
33243,2
33242,3
33196,1
33197,1
33199,3
33206,17
33222,15
33231,6
33233,20
33234,19
33238,4
33299,20
33296,3
33164,1
33101,20
33130,14
33131,15
33132,0
3313,16
33134,3
33135,9
33136,20
33137,18
33138,3
33129,13
33128,20
33127,6
33102,4
33106,1
33111,20
33112,7
33116,0
33122,4
33124,6
33125,4
33126,0
33170,0
33156,1
33158,0
33157,10
33161,0
33155,1
33162,1
33153,2
33152,7
33151,2
33150,0
33163,5
33142,1
33143,0
33144,3
33145,15
33146,8
33147,1
33159,20
33109,20
33139,12
33141,0
33154,1
33140,1
33119,16
33239,7
33056,1
33160,11
33055,1
33054,2
