zip,Gyms per Zip
33114,20
33002,4
33018,3
33017,1
33016,2
33015,7
33014,5
33013,5
33012,4
33011,0
33010,3
33092,4
33090,0
33039,0
33035,0
33034,0
33031,0
33032,0
33030,1
33033,0
33149,0
33181,9
33182,8
33183,3
33184,1
33185,2
33186,0
33187,0
33188,1
33189,0
33190,0
33180,3
33179,9
33178,0
33166,1
33167,0
33168,8
33169,1
33172,9
33173,1
33174,10
33175,2
33176,20
33177,3
33165,2
33193,4
33194,0
33247,3
33255,20
33256,0
33257,0
33261,2
33265,2
33266,0
33269,3
33280,13
33283,1
33245,0
33243,1
33242,14
33196,6
33197,4
33199,2
33206,1
33222,0
33231,20
33233,0
33234,0
33238,0
33299,0
33296,20
33164,18
33101,0
33130,0
33131,3
33132,0
3313,0
33134,20
33135,1
33136,10
33137,0
33138,0
33129,0
33128,1
33127,9
33102,1
33106,1
33111,0
33112,6
33116,0
33122,1
33124,20
33125,9
33126,2
33170,0
33156,0
33158,0
33157,0
33161,1
33155,20
33162,15
33153,0
33152,3
33151,20
33150,15
33163,14
33142,8
33143,1
33144,1
33145,0
33146,1
33147,4
33159,0
33109,0
33139,4
33141,3
33154,0
33140,0
33119,0
33239,0
33056,1
33160,0
33055,0
33054,0
