zip,Gyms per Zip
33114,4
33002,2
33018,0
33017,2
33016,0
33015,1
33014,17
33013,3
33012,3
33011,1
33010,4
33092,1
33090,2
33039,0
33035,0
33034,0
33031,0
33032,5
33030,0
33033,4
33149,0
33181,6
33182,4
33183,2
33184,4
33185,0
33186,20
33187,0
33188,6
33189,0
33190,0
33180,16
33179,3
33178,0
33166,15
33167,2
33168,0
33169,2
33172,2
33173,7
33174,3
33175,4
33176,0
33177,0
33165,2
33193,0
33194,0
33247,3
33255,4
33256,15
33257,3
33261,0
33265,1
33266,2
33269,0
33280,7
33283,3
33245,20
33243,12
33242,2
33196,0
33197,2
33199,1
33206,20
33222,4
33231,1
33233,5
33234,3
33238,2
33299,0
33296,2
33164,0
33101,10
33130,15
33131,1
33132,3
3313,3
33134,2
33135,20
33136,13
33137,20
33138,5
33129,16
33128,12
33127,9
33102,6
33106,0
33111,1
33112,0
33116,0
33122,6
33124,1
33125,6
33126,2
33170,0
33156,1
33158,0
33157,9
33161,0
33155,0
33162,0
33153,0
33152,8
33151,2
33150,3
33163,4
33142,0
33143,12
33144,8
33145,20
33146,20
33147,3
33159,1
33109,3
33139,1
33141,0
33154,0
33140,0
33119,0
33239,1
33056,0
33160,18
33055,2
33054,4
