zip,Gyms per Zip
33114,2
33002,8
33018,0
33017,8
33016,6
33015,0
33014,6
33013,3
33012,7
33011,3
33010,1
33092,0
33090,1
33039,0
33035,0
33034,0
33031,0
33032,1
33030,0
33033,0
33149,0
33181,10
33182,1
33183,2
33184,4
33185,0
33186,11
33187,0
33188,16
33189,3
33190,0
33180,4
33179,0
33178,0
33166,8
33167,0
33168,0
33169,2
33172,3
33173,1
33174,10
33175,8
33176,6
33177,0
33165,2
33193,0
33194,0
33247,2
33255,2
33256,0
33257,1
33261,0
33265,1
33266,4
33269,1
33280,6
33283,0
33245,20
33243,2
33242,1
33196,0
33197,1
33199,2
33206,2
33222,16
33231,20
33233,11
33234,17
33238,0
33299,2
33296,8
33164,4
33101,11
33130,14
33131,19
33132,20
3313,19
33134,7
33135,3
33136,9
33137,4
33138,2
33129,14
33128,12
33127,3
33102,16
33106,0
33111,15
33112,1
33116,0
33122,10
33124,3
33125,3
33126,6
33170,0
33156,0
33158,14
33157,1
33161,0
33155,7
33162,5
33153,0
33152,15
33151,2
33150,1
33163,4
33142,3
33143,3
33144,8
33145,20
33146,0
33147,1
33159,15
33109,0
33139,1
33141,3
33154,4
33140,0
33119,2
33239,0
33056,0
33160,16
33055,5
33054,0
