zip,latit,longi
33114,25.8111332,-80.2024287
33002,25.8879813,-80.280815
33018,25.9445398,-80.3757465
33017,25.9624502,-80.2772582
33016,25.913921,-80.3117177
33015,25.9572701,-80.3033625
33014,25.9323585,-80.281078
33013,25.8832742,-80.2476401
33012,25.8855206,-80.281078
33011,25.8461619,-80.2558081
33010,25.8606029,-80.2587876
33092,25.5413999,-80.3964813
33090,25.4980272,-80.4529188
33039,25.507442,-80.3673977
33035,25.4522761,-80.3757465
33034,25.3133859,-80.5869703
33031,25.5519321,-80.4647485
33032,25.5446392,-80.3534812
33030,25.5016745,-80.5036569
33033,25.513534,-80.4132234
33149,25.7352001,-80.1360854
33181,25.9217877,-80.124922
33182,25.8039805,-80.3757465
33183,25.7164624,-80.3813119
33184,25.7778019,-80.3785293
33185,25.7552879,-80.4369456
33186,25.6867933,-80.3757465
33187,25.6208423,-80.4425069
33188,25.8213999,-80.2864813
33189,25.5948242,-80.3145026
33190,25.5741231,-80.3117177
33180,25.9795432,-80.113757
33179,25.9716473,-80.1695672
33178,25.8647673,-80.4091334
33166,25.844904,-80.2866497
33167,25.9044362,-80.2141891
33168,25.9111405,-80.1835141
33169,25.9614584,-80.1918811
33172,25.8072513,-80.3367783
33173,25.725233,-80.3367783
33174,25.7830791,-80.3256412
33175,25.7571115,-80.3757465
33176,25.6838456,-80.3312099
33177,25.6164579,-80.3757465
33165,25.754158,-80.3312099
33193,25.7201263,-80.4369456
33194,25.7357624,-80.5869703
33247,25.8563353,-80.2178306
33255,25.8103688,-80.2029206
33256,25.6870978,-80.3005019
33257,25.6251697,-80.3262936
33261,25.9005599,-80.1706113
33265,25.7513999,-80.3364813
33266,25.8426224,-80.2598511
33269,25.9669626,-80.181848
33280,25.9716735,-80.1253068
33283,25.7120723,-80.3598512
33245,25.7720482,-80.200499
33243,25.7275205,-80.2666102
33242,25.8235454,-80.2020385
33196,25.6911864,-80.4425069
33197,25.6174999,-80.3364313
33199,25.7752974,-80.3535256
33206,25.7429466,-80.2448313
33222,25.7542723,-80.2180679
33231,25.7513999,-80.2764813
33233,25.7494109,-80.2219036
33234,25.7513999,-80.2164813
33238,25.8737456,-80.1710178
33299,25.7929785,-80.1225161
33296,25.6813999,-80.3364813
33164,25.9513999,-80.1564813
33101,25.7997253,-80.1754949
33130,25.7881896,-80.1835141
33131,25.7866799,-80.161198
33132,25.7914008,-80.1444571
33133,25.7521896,-80.2141891
33134,25.7778661,-80.2476401
33135,25.7900713,-80.2114009
33136,25.8084966,-80.1807249
33137,25.8421158,-80.1584081
33138,25.8772415,-80.1584081
33129,25.777847,-80.1821195
33128,25.7981548,-80.1793302
33127,25.8319182,-80.1807249
33102,25.8213999,-80.2864813
33106,25.716076,-80.4254742
33111,25.7913999,-80.1664813
33112,25.8181842,-80.3615564
33116,25.6848614,-80.4577986
33122,25.8249655,-80.2950065
33124,25.7713744,-80.2364466
33125,25.80764,-80.2114009
33126,25.8000469,-80.2727198
33170,25.6266351,-80.5314374
33156,25.6793954,-80.2643607
33158,25.6601877,-80.2838639
33157,25.6299923,-80.3145026
33161,25.9123627,-80.1584081
33155,25.7574193,-80.292221
33162,25.9474793,-80.1584081
33153,25.8869179,-80.1699402
33152,25.814623,-80.2936138
33151,25.8535803,-80.1862063
33150,25.870163,-80.1835141
33163,25.9713999,-80.1264813
33142,25.834179,-80.2141891
33143,25.7207806,-80.2699335
33144,25.7835934,-80.2894354
33145,25.7748662,-80.2030358
33146,25.7427212,-80.2476401
33147,25.8693099,-80.2141891
33159,25.7913999,-80.1664813
33109,25.7774138,-80.1109655
33139,25.8047119,-80.124922
33141,25.8749634,-80.124922
33154,25.9085574,-80.1025906
33140,25.8390794,-80.113757
33119,25.805628,-80.1086605
33239,25.8113849,-80.1164637
33056,25.9809051,-80.2197652
33160,25.9561376,-80.113757
33055,25.9659816,-80.2587876
33054,25.9340817,-80.2197652
