zip,latit,longi
33114,25.7897333,-80.2494661
33002,25.8665814,-80.3278524
33018,25.9231399,-80.4227839
33017,25.9410503,-80.3242956
33016,25.8925211,-80.3587551
33015,25.9358702,-80.3503999
33014,25.9109586,-80.3281154
33013,25.8618743,-80.2946775
33012,25.8641207,-80.3281154
33011,25.824762,-80.3028455
33010,25.839203,-80.305825
33092,25.52,-80.4435187
33090,25.4766273,-80.4999562
33039,25.4860421,-80.4144351
33035,25.4308762,-80.4227839
33034,25.291986,-80.6340077
33031,25.5305322,-80.5117859
33032,25.5232393,-80.4005186
33030,25.4802746,-80.5506943
33033,25.4921341,-80.4602608
33149,25.7138002,-80.1831228
33181,25.9003878,-80.1719594
33182,25.7825806,-80.4227839
33183,25.6950625,-80.4283493
33184,25.756402,-80.4255667
33185,25.733888,-80.483983
33186,25.6653934,-80.4227839
33187,25.5994424,-80.4895443
33188,25.8,-80.3335187
33189,25.5734243,-80.36154
33190,25.5527232,-80.3587551
33180,25.9581433,-80.1607944
33179,25.9502474,-80.2166046
33178,25.8433674,-80.4561708
33166,25.8235041,-80.3336871
33167,25.8830363,-80.2612265
33168,25.8897406,-80.2305515
33169,25.9400585,-80.2389185
33172,25.7858514,-80.3838157
33173,25.7038331,-80.3838157
33174,25.7616792,-80.3726786
33175,25.7357116,-80.4227839
33176,25.6624457,-80.3782473
33177,25.595058,-80.4227839
33165,25.7327581,-80.3782473
33193,25.6987264,-80.483983
33194,25.7143625,-80.6340077
33247,25.8349354,-80.264868
33255,25.7889689,-80.249958
33256,25.6656979,-80.3475393
33257,25.6037698,-80.373331
33261,25.87916,-80.2176487
33265,25.73,-80.3835187
33266,25.8212225,-80.3068885
33269,25.9455627,-80.2288854
33280,25.9502736,-80.1723442
33283,25.6906724,-80.4068886
33245,25.7506483,-80.2475364
33243,25.7061206,-80.3136476
33242,25.8021455,-80.2490759
33196,25.6697865,-80.4895443
33197,25.5961,-80.3834687
33199,25.7538975,-80.400563
33206,25.7215467,-80.2918687
33222,25.7328724,-80.2651053
33231,25.73,-80.3235187
33233,25.728011,-80.268941
33234,25.73,-80.2635187
33238,25.8523457,-80.2180552
33299,25.7715786,-80.1695535
33296,25.66,-80.3835187
33164,25.93,-80.2035187
33101,25.7783254,-80.2225323
33130,25.7667897,-80.2305515
33131,25.76528,-80.2082354
33132,25.7700009,-80.1914945
33133,25.7307897,-80.2612265
33134,25.7564662,-80.2946775
33135,25.7686714,-80.2584383
33136,25.7870967,-80.2277623
33137,25.8207159,-80.2054455
33138,25.8558416,-80.2054455
33129,25.7564471,-80.2291569
33128,25.7767549,-80.2263676
33127,25.8105183,-80.2277623
33102,25.8,-80.3335187
33106,25.6946761,-80.4725116
33111,25.77,-80.2135187
33112,25.7967843,-80.4085938
33116,25.6634615,-80.504836
33122,25.8035656,-80.3420439
33124,25.7499745,-80.283484
33125,25.7862401,-80.2584383
33126,25.778647,-80.3197572
33170,25.6052352,-80.5784748
33156,25.6579955,-80.3113981
33158,25.6387878,-80.3309013
33157,25.6085924,-80.36154
33161,25.8909628,-80.2054455
33155,25.7360194,-80.3392584
33162,25.9260794,-80.2054455
33153,25.865518,-80.2169776
33152,25.7932231,-80.3406512
33151,25.8321804,-80.2332437
33150,25.8487631,-80.2305515
33163,25.95,-80.1735187
33142,25.8127791,-80.2612265
33143,25.6993807,-80.3169709
33144,25.7621935,-80.3364728
33145,25.7534663,-80.2500732
33146,25.7213213,-80.2946775
33147,25.84791,-80.2612265
33159,25.77,-80.2135187
33109,25.7560139,-80.1580029
33139,25.783312,-80.1719594
33141,25.8535635,-80.1719594
33154,25.8871575,-80.149628
33140,25.8176795,-80.1607944
33119,25.7842281,-80.1556979
33239,25.789985,-80.1635011
33056,25.9595052,-80.2668026
33160,25.9347377,-80.1607944
33055,25.9445817,-80.305825
33054,25.9126818,-80.2668026
