zip,latit,longi
33114,25.7897333,-80.2024287
33002,25.8665814,-80.280815
33018,25.9231399,-80.3757465
33017,25.9410503,-80.2772582
33016,25.8925211,-80.3117177
33015,25.9358702,-80.3033625
33014,25.9109586,-80.281078
33013,25.8618743,-80.2476401
33012,25.8641207,-80.281078
33011,25.824762,-80.2558081
33010,25.839203,-80.2587876
33092,25.52,-80.3964813
33090,25.4766273,-80.4529188
33039,25.4860421,-80.3673977
33035,25.4308762,-80.3757465
33034,25.291986,-80.5869703
33031,25.5305322,-80.4647485
33032,25.5232393,-80.3534812
33030,25.4802746,-80.5036569
33033,25.4921341,-80.4132234
33149,25.7138002,-80.1360854
33181,25.9003878,-80.124922
33182,25.7825806,-80.3757465
33183,25.6950625,-80.3813119
33184,25.756402,-80.3785293
33185,25.733888,-80.4369456
33186,25.6653934,-80.3757465
33187,25.5994424,-80.4425069
33188,25.8,-80.2864813
33189,25.5734243,-80.3145026
33190,25.5527232,-80.3117177
33180,25.9581433,-80.113757
33179,25.9502474,-80.1695672
33178,25.8433674,-80.4091334
33166,25.8235041,-80.2866497
33167,25.8830363,-80.2141891
33168,25.8897406,-80.1835141
33169,25.9400585,-80.1918811
33172,25.7858514,-80.3367783
33173,25.7038331,-80.3367783
33174,25.7616792,-80.3256412
33175,25.7357116,-80.3757465
33176,25.6624457,-80.3312099
33177,25.595058,-80.3757465
33165,25.7327581,-80.3312099
33193,25.6987264,-80.4369456
33194,25.7143625,-80.5869703
33247,25.8349354,-80.2178306
33255,25.7889689,-80.2029206
33256,25.6656979,-80.3005019
33257,25.6037698,-80.3262936
33261,25.87916,-80.1706113
33265,25.73,-80.3364813
33266,25.8212225,-80.2598511
33269,25.9455627,-80.181848
33280,25.9502736,-80.1253068
33283,25.6906724,-80.3598512
33245,25.7506483,-80.200499
33243,25.7061206,-80.2666102
33242,25.8021455,-80.2020385
33196,25.6697865,-80.4425069
33197,25.5961,-80.3364313
33199,25.7538975,-80.3535256
33206,25.7215467,-80.2448313
33222,25.7328724,-80.2180679
33231,25.73,-80.2764813
33233,25.728011,-80.2219036
33234,25.73,-80.2164813
33238,25.8523457,-80.1710178
33299,25.7715786,-80.1225161
33296,25.66,-80.3364813
33164,25.93,-80.1564813
33101,25.7783254,-80.1754949
33130,25.7667897,-80.1835141
33131,25.76528,-80.161198
33132,25.7700009,-80.1444571
33133,25.7307897,-80.2141891
33134,25.7564662,-80.2476401
33135,25.7686714,-80.2114009
33136,25.7870967,-80.1807249
33137,25.8207159,-80.1584081
33138,25.8558416,-80.1584081
33129,25.7564471,-80.1821195
33128,25.7767549,-80.1793302
33127,25.8105183,-80.1807249
33102,25.8,-80.2864813
33106,25.6946761,-80.4254742
33111,25.77,-80.1664813
33112,25.7967843,-80.3615564
33116,25.6634615,-80.4577986
33122,25.8035656,-80.2950065
33124,25.7499745,-80.2364466
33125,25.7862401,-80.2114009
33126,25.778647,-80.2727198
33170,25.6052352,-80.5314374
33156,25.6579955,-80.2643607
33158,25.6387878,-80.2838639
33157,25.6085924,-80.3145026
33161,25.8909628,-80.1584081
33155,25.7360194,-80.292221
33162,25.9260794,-80.1584081
33153,25.865518,-80.1699402
33152,25.7932231,-80.2936138
33151,25.8321804,-80.1862063
33150,25.8487631,-80.1835141
33163,25.95,-80.1264813
33142,25.8127791,-80.2141891
33143,25.6993807,-80.2699335
33144,25.7621935,-80.2894354
33145,25.7534663,-80.2030358
33146,25.7213213,-80.2476401
33147,25.84791,-80.2141891
33159,25.77,-80.1664813
33109,25.7560139,-80.1109655
33139,25.783312,-80.124922
33141,25.8535635,-80.124922
33154,25.8871575,-80.1025906
33140,25.8176795,-80.113757
33119,25.7842281,-80.1086605
33239,25.789985,-80.1164637
33056,25.9595052,-80.2197652
33160,25.9347377,-80.113757
33055,25.9445817,-80.2587876
33054,25.9126818,-80.2197652
