zip,latit,longi
33114,25.8111332,-80.2494661
33002,25.8879813,-80.3278524
33018,25.9445398,-80.4227839
33017,25.9624502,-80.3242956
33016,25.913921,-80.3587551
33015,25.9572701,-80.3503999
33014,25.9323585,-80.3281154
33013,25.8832742,-80.2946775
33012,25.8855206,-80.3281154
33011,25.8461619,-80.3028455
33010,25.8606029,-80.305825
33092,25.5413999,-80.4435187
33090,25.4980272,-80.4999562
33039,25.507442,-80.4144351
33035,25.4522761,-80.4227839
33034,25.3133859,-80.6340077
33031,25.5519321,-80.5117859
33032,25.5446392,-80.4005186
33030,25.5016745,-80.5506943
33033,25.513534,-80.4602608
33149,25.7352001,-80.1831228
33181,25.9217877,-80.1719594
33182,25.8039805,-80.4227839
33183,25.7164624,-80.4283493
33184,25.7778019,-80.4255667
33185,25.7552879,-80.483983
33186,25.6867933,-80.4227839
33187,25.6208423,-80.4895443
33188,25.8213999,-80.3335187
33189,25.5948242,-80.36154
33190,25.5741231,-80.3587551
33180,25.9795432,-80.1607944
33179,25.9716473,-80.2166046
33178,25.8647673,-80.4561708
33166,25.844904,-80.3336871
33167,25.9044362,-80.2612265
33168,25.9111405,-80.2305515
33169,25.9614584,-80.2389185
33172,25.8072513,-80.3838157
33173,25.725233,-80.3838157
33174,25.7830791,-80.3726786
33175,25.7571115,-80.4227839
33176,25.6838456,-80.3782473
33177,25.6164579,-80.4227839
33165,25.754158,-80.3782473
33193,25.7201263,-80.483983
33194,25.7357624,-80.6340077
33247,25.8563353,-80.264868
33255,25.8103688,-80.249958
33256,25.6870978,-80.3475393
33257,25.6251697,-80.373331
33261,25.9005599,-80.2176487
33265,25.7513999,-80.3835187
33266,25.8426224,-80.3068885
33269,25.9669626,-80.2288854
33280,25.9716735,-80.1723442
33283,25.7120723,-80.4068886
33245,25.7720482,-80.2475364
33243,25.7275205,-80.3136476
33242,25.8235454,-80.2490759
33196,25.6911864,-80.4895443
33197,25.6174999,-80.3834687
33199,25.7752974,-80.400563
33206,25.7429466,-80.2918687
33222,25.7542723,-80.2651053
33231,25.7513999,-80.3235187
33233,25.7494109,-80.268941
33234,25.7513999,-80.2635187
33238,25.8737456,-80.2180552
33299,25.7929785,-80.1695535
33296,25.6813999,-80.3835187
33164,25.9513999,-80.2035187
33101,25.7997253,-80.2225323
33130,25.7881896,-80.2305515
33131,25.7866799,-80.2082354
33132,25.7914008,-80.1914945
33133,25.7521896,-80.2612265
33134,25.7778661,-80.2946775
33135,25.7900713,-80.2584383
33136,25.8084966,-80.2277623
33137,25.8421158,-80.2054455
33138,25.8772415,-80.2054455
33129,25.777847,-80.2291569
33128,25.7981548,-80.2263676
33127,25.8319182,-80.2277623
33102,25.8213999,-80.3335187
33106,25.716076,-80.4725116
33111,25.7913999,-80.2135187
33112,25.8181842,-80.4085938
33116,25.6848614,-80.504836
33122,25.8249655,-80.3420439
33124,25.7713744,-80.283484
33125,25.80764,-80.2584383
33126,25.8000469,-80.3197572
33170,25.6266351,-80.5784748
33156,25.6793954,-80.3113981
33158,25.6601877,-80.3309013
33157,25.6299923,-80.36154
33161,25.9123627,-80.2054455
33155,25.7574193,-80.3392584
33162,25.9474793,-80.2054455
33153,25.8869179,-80.2169776
33152,25.814623,-80.3406512
33151,25.8535803,-80.2332437
33150,25.870163,-80.2305515
33163,25.9713999,-80.1735187
33142,25.834179,-80.2612265
33143,25.7207806,-80.3169709
33144,25.7835934,-80.3364728
33145,25.7748662,-80.2500732
33146,25.7427212,-80.2946775
33147,25.8693099,-80.2612265
33159,25.7913999,-80.2135187
33109,25.7774138,-80.1580029
33139,25.8047119,-80.1719594
33141,25.8749634,-80.1719594
33154,25.9085574,-80.149628
33140,25.8390794,-80.1607944
33119,25.805628,-80.1556979
33239,25.8113849,-80.1635011
33056,25.9809051,-80.2668026
33160,25.9561376,-80.1607944
33055,25.9659816,-80.305825
33054,25.9340817,-80.2668026
