zip,latit,longi
33114,25.8111332,-80.2259474
33002,25.8879813,-80.3043337
33018,25.9445398,-80.3992652
33017,25.9624502,-80.3007769
33016,25.913921,-80.3352364
33015,25.9572701,-80.3268812
33014,25.9323585,-80.3045967
33013,25.8832742,-80.2711588
33012,25.8855206,-80.3045967
33011,25.8461619,-80.2793268
33010,25.8606029,-80.2823063
33092,25.5413999,-80.42
33090,25.4980272,-80.4764375
33039,25.507442,-80.3909164
33035,25.4522761,-80.3992652
33034,25.3133859,-80.610489
33031,25.5519321,-80.4882672
33032,25.5446392,-80.3769999
33030,25.5016745,-80.5271756
33033,25.513534,-80.4367421
33149,25.7352001,-80.1596041
33181,25.9217877,-80.1484407
33182,25.8039805,-80.3992652
33183,25.7164624,-80.4048306
33184,25.7778019,-80.402048
33185,25.7552879,-80.4604643
33186,25.6867933,-80.3992652
33187,25.6208423,-80.4660256
33188,25.8213999,-80.31
33189,25.5948242,-80.3380213
33190,25.5741231,-80.3352364
33180,25.9795432,-80.1372757
33179,25.9716473,-80.1930859
33178,25.8647673,-80.4326521
33166,25.844904,-80.3101684
33167,25.9044362,-80.2377078
33168,25.9111405,-80.2070328
33169,25.9614584,-80.2153998
33172,25.8072513,-80.360297
33173,25.725233,-80.360297
33174,25.7830791,-80.3491599
33175,25.7571115,-80.3992652
33176,25.6838456,-80.3547286
33177,25.6164579,-80.3992652
33165,25.754158,-80.3547286
33193,25.7201263,-80.4604643
33194,25.7357624,-80.610489
33247,25.8563353,-80.2413493
33255,25.8103688,-80.2264393
33256,25.6870978,-80.3240206
33257,25.6251697,-80.3498123
33261,25.9005599,-80.19413
33265,25.7513999,-80.36
33266,25.8426224,-80.2833698
33269,25.9669626,-80.2053667
33280,25.9716735,-80.1488255
33283,25.7120723,-80.3833699
33245,25.7720482,-80.2240177
33243,25.7275205,-80.2901289
33242,25.8235454,-80.2255572
33196,25.6911864,-80.4660256
33197,25.6174999,-80.35995
33199,25.7752974,-80.3770443
33206,25.7429466,-80.26835
33222,25.7542723,-80.2415866
33231,25.7513999,-80.3
33233,25.7494109,-80.2454223
33234,25.7513999,-80.24
33238,25.8737456,-80.1945365
33299,25.7929785,-80.1460348
33296,25.6813999,-80.36
33164,25.9513999,-80.18
33101,25.7997253,-80.1990136
33130,25.7881896,-80.2070328
33131,25.7866799,-80.1847167
33132,25.7914008,-80.1679758
33133,25.7521896,-80.2377078
33134,25.7778661,-80.2711588
33135,25.7900713,-80.2349196
33136,25.8084966,-80.2042436
33137,25.8421158,-80.1819268
33138,25.8772415,-80.1819268
33129,25.777847,-80.2056382
33128,25.7981548,-80.2028489
33127,25.8319182,-80.2042436
33102,25.8213999,-80.31
33106,25.716076,-80.4489929
33111,25.7913999,-80.19
33112,25.8181842,-80.3850751
33116,25.6848614,-80.4813173
33122,25.8249655,-80.3185252
33124,25.7713744,-80.2599653
33125,25.80764,-80.2349196
33126,25.8000469,-80.2962385
33170,25.6266351,-80.5549561
33156,25.6793954,-80.2878794
33158,25.6601877,-80.3073826
33157,25.6299923,-80.3380213
33161,25.9123627,-80.1819268
33155,25.7574193,-80.3157397
33162,25.9474793,-80.1819268
33153,25.8869179,-80.1934589
33152,25.814623,-80.3171325
33151,25.8535803,-80.209725
33150,25.870163,-80.2070328
33163,25.9713999,-80.15
33142,25.834179,-80.2377078
33143,25.7207806,-80.2934522
33144,25.7835934,-80.3129541
33145,25.7748662,-80.2265545
33146,25.7427212,-80.2711588
33147,25.8693099,-80.2377078
33159,25.7913999,-80.19
33109,25.7774138,-80.1344842
33139,25.8047119,-80.1484407
33141,25.8749634,-80.1484407
33154,25.9085574,-80.1261093
33140,25.8390794,-80.1372757
33119,25.805628,-80.1321792
33239,25.8113849,-80.1399824
33056,25.9809051,-80.2432839
33160,25.9561376,-80.1372757
33055,25.9659816,-80.2823063
33054,25.9340817,-80.2432839
