zip,latit,longi
33114,25.7683334,-80.2024287
33002,25.8451815,-80.280815
33018,25.90174,-80.3757465
33017,25.9196504,-80.2772582
33016,25.8711212,-80.3117177
33015,25.9144703,-80.3033625
33014,25.8895587,-80.281078
33013,25.8404744,-80.2476401
33012,25.8427208,-80.281078
33011,25.8033621,-80.2558081
33010,25.8178031,-80.2587876
33092,25.4986001,-80.3964813
33090,25.4552274,-80.4529188
33039,25.4646422,-80.3673977
33035,25.4094763,-80.3757465
33034,25.2705861,-80.5869703
33031,25.5091323,-80.4647485
33032,25.5018394,-80.3534812
33030,25.4588747,-80.5036569
33033,25.4707342,-80.4132234
33149,25.6924003,-80.1360854
33181,25.8789879,-80.124922
33182,25.7611807,-80.3757465
33183,25.6736626,-80.3813119
33184,25.7350021,-80.3785293
33185,25.7124881,-80.4369456
33186,25.6439935,-80.3757465
33187,25.5780425,-80.4425069
33188,25.7786001,-80.2864813
33189,25.5520244,-80.3145026
33190,25.5313233,-80.3117177
33180,25.9367434,-80.113757
33179,25.9288475,-80.1695672
33178,25.8219675,-80.4091334
33166,25.8021042,-80.2866497
33167,25.8616364,-80.2141891
33168,25.8683407,-80.1835141
33169,25.9186586,-80.1918811
33172,25.7644515,-80.3367783
33173,25.6824332,-80.3367783
33174,25.7402793,-80.3256412
33175,25.7143117,-80.3757465
33176,25.6410458,-80.3312099
33177,25.5736581,-80.3757465
33165,25.7113582,-80.3312099
33193,25.6773265,-80.4369456
33194,25.6929626,-80.5869703
33247,25.8135355,-80.2178306
33255,25.767569,-80.2029206
33256,25.644298,-80.3005019
33257,25.5823699,-80.3262936
33261,25.8577601,-80.1706113
33265,25.7086001,-80.3364813
33266,25.7998226,-80.2598511
33269,25.9241628,-80.181848
33280,25.9288737,-80.1253068
33283,25.6692725,-80.3598512
33245,25.7292484,-80.200499
33243,25.6847207,-80.2666102
33242,25.7807456,-80.2020385
33196,25.6483866,-80.4425069
33197,25.5747001,-80.3364313
33199,25.7324976,-80.3535256
33206,25.7001468,-80.2448313
33222,25.7114725,-80.2180679
33231,25.7086001,-80.2764813
33233,25.7066111,-80.2219036
33234,25.7086001,-80.2164813
33238,25.8309458,-80.1710178
33299,25.7501787,-80.1225161
33296,25.6386001,-80.3364813
33164,25.9086001,-80.1564813
33101,25.7569255,-80.1754949
33130,25.7453898,-80.1835141
33131,25.7438801,-80.161198
33132,25.748601,-80.1444571
33133,25.7093898,-80.2141891
33134,25.7350663,-80.2476401
33135,25.7472715,-80.2114009
33136,25.7656968,-80.1807249
33137,25.799316,-80.1584081
33138,25.8344417,-80.1584081
33129,25.7350472,-80.1821195
33128,25.755355,-80.1793302
33127,25.7891184,-80.1807249
33102,25.7786001,-80.2864813
33106,25.6732762,-80.4254742
33111,25.7486001,-80.1664813
33112,25.7753844,-80.3615564
33116,25.6420616,-80.4577986
33122,25.7821657,-80.2950065
33124,25.7285746,-80.2364466
33125,25.7648402,-80.2114009
33126,25.7572471,-80.2727198
33170,25.5838353,-80.5314374
33156,25.6365956,-80.2643607
33158,25.6173879,-80.2838639
33157,25.5871925,-80.3145026
33161,25.8695629,-80.1584081
33155,25.7146195,-80.292221
33162,25.9046795,-80.1584081
33153,25.8441181,-80.1699402
33152,25.7718232,-80.2936138
33151,25.8107805,-80.1862063
33150,25.8273632,-80.1835141
33163,25.9286001,-80.1264813
33142,25.7913792,-80.2141891
33143,25.6779808,-80.2699335
33144,25.7407936,-80.2894354
33145,25.7320664,-80.2030358
33146,25.6999214,-80.2476401
33147,25.8265101,-80.2141891
33159,25.7486001,-80.1664813
33109,25.734614,-80.1109655
33139,25.7619121,-80.124922
33141,25.8321636,-80.124922
33154,25.8657576,-80.1025906
33140,25.7962796,-80.113757
33119,25.7628282,-80.1086605
33239,25.7685851,-80.1164637
33056,25.9381053,-80.2197652
33160,25.9133378,-80.113757
33055,25.9231818,-80.2587876
33054,25.8912819,-80.2197652
