zip,latit,longi
33114,25.7683334,-80.2494661
33002,25.8451815,-80.3278524
33018,25.90174,-80.4227839
33017,25.9196504,-80.3242956
33016,25.8711212,-80.3587551
33015,25.9144703,-80.3503999
33014,25.8895587,-80.3281154
33013,25.8404744,-80.2946775
33012,25.8427208,-80.3281154
33011,25.8033621,-80.3028455
33010,25.8178031,-80.305825
33092,25.4986001,-80.4435187
33090,25.4552274,-80.4999562
33039,25.4646422,-80.4144351
33035,25.4094763,-80.4227839
33034,25.2705861,-80.6340077
33031,25.5091323,-80.5117859
33032,25.5018394,-80.4005186
33030,25.4588747,-80.5506943
33033,25.4707342,-80.4602608
33149,25.6924003,-80.1831228
33181,25.8789879,-80.1719594
33182,25.7611807,-80.4227839
33183,25.6736626,-80.4283493
33184,25.7350021,-80.4255667
33185,25.7124881,-80.483983
33186,25.6439935,-80.4227839
33187,25.5780425,-80.4895443
33188,25.7786001,-80.3335187
33189,25.5520244,-80.36154
33190,25.5313233,-80.3587551
33180,25.9367434,-80.1607944
33179,25.9288475,-80.2166046
33178,25.8219675,-80.4561708
33166,25.8021042,-80.3336871
33167,25.8616364,-80.2612265
33168,25.8683407,-80.2305515
33169,25.9186586,-80.2389185
33172,25.7644515,-80.3838157
33173,25.6824332,-80.3838157
33174,25.7402793,-80.3726786
33175,25.7143117,-80.4227839
33176,25.6410458,-80.3782473
33177,25.5736581,-80.4227839
33165,25.7113582,-80.3782473
33193,25.6773265,-80.483983
33194,25.6929626,-80.6340077
33247,25.8135355,-80.264868
33255,25.767569,-80.249958
33256,25.644298,-80.3475393
33257,25.5823699,-80.373331
33261,25.8577601,-80.2176487
33265,25.7086001,-80.3835187
33266,25.7998226,-80.3068885
33269,25.9241628,-80.2288854
33280,25.9288737,-80.1723442
33283,25.6692725,-80.4068886
33245,25.7292484,-80.2475364
33243,25.6847207,-80.3136476
33242,25.7807456,-80.2490759
33196,25.6483866,-80.4895443
33197,25.5747001,-80.3834687
33199,25.7324976,-80.400563
33206,25.7001468,-80.2918687
33222,25.7114725,-80.2651053
33231,25.7086001,-80.3235187
33233,25.7066111,-80.268941
33234,25.7086001,-80.2635187
33238,25.8309458,-80.2180552
33299,25.7501787,-80.1695535
33296,25.6386001,-80.3835187
33164,25.9086001,-80.2035187
33101,25.7569255,-80.2225323
33130,25.7453898,-80.2305515
33131,25.7438801,-80.2082354
33132,25.748601,-80.1914945
33133,25.7093898,-80.2612265
33134,25.7350663,-80.2946775
33135,25.7472715,-80.2584383
33136,25.7656968,-80.2277623
33137,25.799316,-80.2054455
33138,25.8344417,-80.2054455
33129,25.7350472,-80.2291569
33128,25.755355,-80.2263676
33127,25.7891184,-80.2277623
33102,25.7786001,-80.3335187
33106,25.6732762,-80.4725116
33111,25.7486001,-80.2135187
33112,25.7753844,-80.4085938
33116,25.6420616,-80.504836
33122,25.7821657,-80.3420439
33124,25.7285746,-80.283484
33125,25.7648402,-80.2584383
33126,25.7572471,-80.3197572
33170,25.5838353,-80.5784748
33156,25.6365956,-80.3113981
33158,25.6173879,-80.3309013
33157,25.5871925,-80.36154
33161,25.8695629,-80.2054455
33155,25.7146195,-80.3392584
33162,25.9046795,-80.2054455
33153,25.8441181,-80.2169776
33152,25.7718232,-80.3406512
33151,25.8107805,-80.2332437
33150,25.8273632,-80.2305515
33163,25.9286001,-80.1735187
33142,25.7913792,-80.2612265
33143,25.6779808,-80.3169709
33144,25.7407936,-80.3364728
33145,25.7320664,-80.2500732
33146,25.6999214,-80.2946775
33147,25.8265101,-80.2612265
33159,25.7486001,-80.2135187
33109,25.734614,-80.1580029
33139,25.7619121,-80.1719594
33141,25.8321636,-80.1719594
33154,25.8657576,-80.149628
33140,25.7962796,-80.1607944
33119,25.7628282,-80.1556979
33239,25.7685851,-80.1635011
33056,25.9381053,-80.2668026
33160,25.9133378,-80.1607944
33055,25.9231818,-80.305825
33054,25.8912819,-80.2668026
