Zipcode,Income,Income per Capita,Population,Population White,Population Black,Population American Indian,Population Asian,Population Hawaiian,Population 2 or more Races,Population Hispanic,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Age,Median Male Age,Median Female Age
01001,56714.0,30430.0,17423.0,15974.0,256.0,5.0,703.0,24.0,184.0,1314.0,3624.0,283.0,1342.0,2016.0,1353.0,121.0,116.0,45.0,41.6,48.1
01002,48923.0,26072.0,29970.0,23459.0,1711.0,140.0,3502.0,17.0,911.0,1870.0,1540.0,138.0,694.0,3161.0,2956.0,592.0,2040.0,23.2,23.3,23.2
01003,2499.0,3829.0,11296.0,8698.0,660.0,30.0,1538.0,0.0,240.0,526.0,0.0,7.0,0.0,3.0,10.0,1.0,1.0,19.9,19.9,19.9
01005,70568.0,32169.0,5228.0,5063.0,105.0,0.0,32.0,18.0,8.0,77.0,1292.0,120.0,321.0,505.0,327.0,92.0,76.0,44.1,41.6,47.4
01007,80502.0,36359.0,14888.0,13906.0,125.0,0.0,443.0,0.0,380.0,305.0,1946.0,305.0,978.0,2185.0,1455.0,228.0,387.0,42.5,40.2,43.8
01008,67250.0,34505.0,1194.0,1182.0,0.0,0.0,7.0,0.0,5.0,4.0,272.0,23.0,96.0,164.0,97.0,0.0,9.0,48.5,49.4,46.9
01009,-666666666.0,26150.0,237.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,7.0,8.0,34.0,0.0,0.0,0.0,62.2,61.5,66.6
01010,83273.0,38693.0,3718.0,3703.0,9.0,0.0,6.0,0.0,0.0,43.0,631.0,51.0,390.0,601.0,357.0,40.0,35.0,46.6,46.3,47.2
01011,74722.0,29951.0,1523.0,1462.0,15.0,0.0,11.0,0.0,17.0,51.0,386.0,40.0,126.0,145.0,46.0,10.0,3.0,41.0,39.9,43.0
01012,60417.0,34032.0,528.0,520.0,0.0,0.0,0.0,2.0,6.0,11.0,117.0,6.0,36.0,81.0,40.0,7.0,21.0,50.5,50.7,48.0
01013,40876.0,21677.0,22943.0,19344.0,808.0,28.0,524.0,0.0,320.0,5753.0,4824.0,817.0,1296.0,1706.0,867.0,71.0,103.0,35.0,33.3,36.8
01020,57851.0,29705.0,30629.0,27211.0,957.0,58.0,385.0,0.0,811.0,4484.0,7032.0,1432.0,2882.0,2569.0,1109.0,163.0,64.0,44.5,43.5,45.7
01022,44701.0,26605.0,2528.0,1848.0,414.0,0.0,45.0,0.0,164.0,269.0,548.0,18.0,209.0,313.0,186.0,0.0,39.0,41.1,31.4,51.7
01026,50924.0,28269.0,1018.0,974.0,33.0,0.0,0.0,0.0,11.0,10.0,252.0,21.0,47.0,171.0,106.0,17.0,9.0,51.2,51.3,51.2
01027,61217.0,33598.0,17872.0,16675.0,326.0,3.0,240.0,0.0,376.0,1178.0,3896.0,489.0,1607.0,3026.0,1375.0,185.0,103.0,45.1,43.4,46.7
01028,83003.0,39282.0,16063.0,14485.0,981.0,26.0,328.0,0.0,204.0,457.0,2552.0,234.0,1272.0,2757.0,1519.0,623.0,72.0,46.0,46.0,46.1
01029,54375.0,32415.0,760.0,746.0,7.0,0.0,0.0,0.0,7.0,4.0,179.0,3.0,51.0,122.0,37.0,15.0,0.0,47.9,49.6,47.2
01030,64874.0,32812.0,11278.0,10824.0,195.0,6.0,209.0,0.0,35.0,708.0,2314.0,228.0,953.0,1599.0,687.0,103.0,61.0,44.9,43.9,46.0
01031,39327.0,26153.0,1192.0,1161.0,8.0,0.0,0.0,0.0,23.0,9.0,325.0,16.0,69.0,150.0,39.0,7.0,11.0,43.2,37.5,46.1
01032,73750.0,36045.0,590.0,586.0,0.0,0.0,4.0,0.0,0.0,10.0,93.0,5.0,65.0,96.0,102.0,0.0,21.0,49.3,51.3,43.0
01033,86951.0,39115.0,6310.0,6172.0,0.0,0.0,18.0,0.0,60.0,436.0,1066.0,228.0,512.0,923.0,530.0,96.0,90.0,45.5,46.4,45.0
01034,82159.0,32783.0,2323.0,2278.0,2.0,2.0,7.0,0.0,29.0,40.0,535.0,114.0,164.0,334.0,93.0,24.0,11.0,46.6,46.4,46.8
01035,62634.0,40287.0,5338.0,5001.0,121.0,20.0,119.0,0.0,43.0,239.0,844.0,119.0,377.0,1077.0,687.0,102.0,179.0,46.3,45.9,47.0
01036,80375.0,38547.0,5190.0,5143.0,10.0,0.0,26.0,0.0,11.0,106.0,1051.0,93.0,524.0,727.0,481.0,87.0,37.0,48.7,49.1,48.4
01037,80417.0,33913.0,755.0,692.0,12.0,0.0,0.0,0.0,20.0,73.0,164.0,6.0,51.0,91.0,57.0,29.0,13.0,50.3,30.6,53.8
01038,65887.0,35804.0,2853.0,2787.0,21.0,0.0,36.0,0.0,9.0,1.0,732.0,43.0,282.0,514.0,242.0,50.0,58.0,50.7,49.8,51.4
01039,74107.0,43845.0,1194.0,1170.0,6.0,0.0,0.0,0.0,8.0,30.0,99.0,4.0,96.0,231.0,222.0,53.0,23.0,54.0,51.3,54.9
01040,38829.0,21897.0,40280.0,33779.0,1780.0,228.0,747.0,26.0,874.0,20130.0,6042.0,1242.0,1925.0,4241.0,1932.0,372.0,214.0,34.4,31.7,36.9
