ZIP,Gym,Address,User Ratings
"25.76528,-80.1847167",Exhale Downtown Miami,"270 Biscayne Boulevard Way #16, Miami",21
"25.76528,-80.1847167",LA Fitness,"900 South Miami Avenue #236, Miami",240
"25.76528,-80.1847167",Hot Yoga Brickell (Nacho Cano),"809 Southwest 1st Avenue, Miami",28
"25.76528,-80.1847167",Sanctuary Seven Pilates,"1797 Southwest 3rd Avenue, Miami",13
"25.76528,-80.1847167",Equinox Brickell,"1441 Brickell Avenue #4, Miami",42
"25.76528,-80.1847167",Skanda Yoga Studio,"1800 Southwest 1st Avenue #102, Miami",32
"25.76528,-80.1847167",Cure Fitness,"1800 Southwest 1st Avenue, Miami",7
"25.76528,-80.1847167",Dubail Fitness Institute,"1785 Southwest 3rd Avenue, Miami",13
"25.76528,-80.1847167",Dharmi Yoga,"118 Southwest South River Drive, Miami",1
"25.76528,-80.1847167",Getting Fit Miami,"199 East Flagler Street, Miami",na
"25.76528,-80.1847167",Orangetheory Fitness,"244 Biscayne Boulevard, Miami",55
"25.76528,-80.1847167",Biotonic Brickell,"801 Brickell Bay Drive, Miami",na
"25.76528,-80.1847167",Pilates Center by Bernadette,"260 Crandon Boulevard #36, Key Biscayne",1
"25.76528,-80.1847167",The Cage Boxing Club,"1060 Brickell Avenue #M3, Miami",33
"25.76528,-80.1847167",Yoga with Anamaria,"255 Biscayne Boulevard Way, Miami",5
"25.76528,-80.1847167",Athleatz,"Southeast Financial Center, 200 South Biscayne Boulevard #2791, Miami",na
"25.76528,-80.1847167",Equinox Brickell Heights,"25 Southwest 9th Street g103, Miami",36
"25.76528,-80.1847167",EPIC Hybrid Training - Miami,"620 South Miami Avenue, Miami",12
"25.76528,-80.1847167",SoulCycle BRKL - Brickell,"25 Southwest 9th Street g102, Miami",18
"25.76528,-80.1847167",Trainer Shawn Personal Fitness Miami Brickell,"479 Southwest 3rd Street, Miami",9
