Zipcode,Income,Income per Capita,Population,Population White,Population Black,Population American Indian,Population Asian,Population Hawaiian,Population 2 or more Races,Population Hispanic,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Age,Median Male Age,Median Female Age,Median House Construction/Year,Median Contract Rent,Median Gross Rent,Median Home Value,Median Monthly Owner Cost,Poverty,Poverty Male,Poverty Female,Family Poverty
33010,22523.0,12318.0,46108.0,43344.0,1237.0,29.0,175.0,0.0,567.0,44152.0,11938.0,617.0,2082.0,3027.0,494.0,313.0,27.0,43.9,42.8,45.4,1969.0,792.0,891.0,169700.0,1736.0,14742.0,6769.0,7973.0,3151.0
33012,32273.0,15832.0,73805.0,67774.0,1175.0,5.0,206.0,0.0,621.0,70493.0,17306.0,1644.0,3932.0,5385.0,1619.0,952.0,271.0,44.6,43.1,46.1,1972.0,902.0,1020.0,158400.0,1423.0,15920.0,6643.0,9277.0,3008.0
33013,29269.0,14389.0,32382.0,31245.0,537.0,0.0,65.0,0.0,92.0,30967.0,8786.0,543.0,1925.0,1776.0,384.0,202.0,47.0,44.4,43.3,45.6,1960.0,833.0,952.0,180500.0,1669.0,8109.0,3448.0,4661.0,1568.0
33014,38332.0,18696.0,40517.0,37341.0,1614.0,70.0,358.0,0.0,510.0,35510.0,8208.0,827.0,2623.0,3754.0,860.0,620.0,256.0,40.6,40.1,41.7,1973.0,974.0,1093.0,202000.0,1650.0,8788.0,3471.0,5317.0,2008.0
33015,51076.0,19659.0,65038.0,54456.0,7139.0,0.0,1339.0,0.0,695.0,52907.0,10641.0,964.0,5143.0,7165.0,2503.0,585.0,155.0,34.6,34.3,35.0,1986.0,1071.0,1185.0,176400.0,1713.0,10163.0,3807.0,6356.0,2149.0
33016,39085.0,16569.0,48450.0,45473.0,1274.0,37.0,853.0,0.0,246.0,43955.0,11036.0,945.0,2920.0,4322.0,603.0,457.0,111.0,37.9,35.2,40.5,1984.0,1016.0,1158.0,154800.0,1409.0,9625.0,4007.0,5618.0,1963.0
33018,49769.0,18035.0,46903.0,44536.0,1004.0,226.0,299.0,0.0,428.0,44344.0,9372.0,724.0,3011.0,4372.0,1160.0,576.0,76.0,39.7,39.2,40.8,1995.0,1115.0,1240.0,189500.0,1638.0,6907.0,2869.0,4038.0,1470.0
33030,29994.0,14003.0,33500.0,26630.0,4911.0,241.0,263.0,0.0,754.0,21986.0,4941.0,396.0,1317.0,1345.0,418.0,35.0,97.0,30.3,30.6,30.0,1976.0,685.0,856.0,156100.0,1753.0,11822.0,6103.0,5719.0,2155.0
33031,62609.0,27902.0,6411.0,5799.0,65.0,278.0,107.0,0.0,0.0,2776.0,847.0,125.0,333.0,769.0,379.0,141.0,121.0,41.6,42.8,40.4,1979.0,1141.0,1454.0,320700.0,1973.0,1227.0,692.0,535.0,229.0
33032,41469.0,18009.0,37028.0,24290.0,10435.0,182.0,721.0,0.0,1189.0,21369.0,5509.0,858.0,2017.0,2762.0,841.0,229.0,75.0,30.8,30.1,32.4,1996.0,978.0,1179.0,132300.0,1645.0,9796.0,4134.0,5662.0,1801.0
33033,44817.0,17177.0,51131.0,35930.0,11376.0,21.0,1044.0,0.0,1369.0,31740.0,7431.0,1150.0,2157.0,3264.0,1042.0,186.0,116.0,30.9,30.0,32.2,1997.0,955.0,1152.0,126000.0,1578.0,14675.0,7064.0,7611.0,2806.0
33034,27996.0,7505.0,26083.0,15022.0,9823.0,65.0,107.0,0.0,605.0,10377.0,3800.0,1488.0,748.0,661.0,190.0,25.0,73.0,36.0,38.0,29.9,1991.0,738.0,908.0,88500.0,1114.0,8185.0,3561.0,4624.0,1449.0
33035,58913.0,22280.0,14123.0,8779.0,3772.0,0.0,601.0,0.0,816.0,6386.0,2165.0,204.0,964.0,1789.0,710.0,30.0,46.0,32.2,29.0,34.4,2003.0,1072.0,1277.0,104100.0,1602.0,2469.0,928.0,1541.0,506.0
33039,31591.0,8321.0,307.0,270.0,22.0,0.0,0.0,0.0,15.0,307.0,30.0,0.0,21.0,0.0,0.0,0.0,0.0,29.5,29.4,39.2,1987.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,130.0,53.0,77.0,15.0
33054,24966.0,12383.0,29662.0,7648.0,21087.0,37.0,121.0,0.0,111.0,8602.0,5944.0,425.0,1174.0,1307.0,321.0,24.0,68.0,30.9,29.5,31.5,1959.0,662.0,796.0,110600.0,1366.0,10338.0,4407.0,5931.0,2064.0
33055,42841.0,15339.0,46013.0,26100.0,15425.0,31.0,408.0,0.0,621.0,29756.0,11363.0,1226.0,2095.0,2731.0,737.0,272.0,207.0,38.2,37.8,38.6,1974.0,980.0,1189.0,124200.0,1463.0,9763.0,4609.0,5154.0,1856.0
33056,41291.0,15898.0,34550.0,3296.0,29813.0,20.0,61.0,0.0,498.0,5408.0,6850.0,1125.0,1447.0,2004.0,822.0,72.0,153.0,33.0,30.0,35.0,1971.0,942.0,1114.0,139300.0,1514.0,7986.0,3341.0,4645.0,1349.0
33101,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0
33109,166976.0,116586.0,508.0,495.0,0.0,0.0,13.0,0.0,0.0,304.0,56.0,0.0,0.0,73.0,57.0,61.0,28.0,49.4,33.9,49.6,1988.0,-666666666.0,-666666666.0,1000001.0,3298.0,43.0,0.0,43.0,0.0
33122,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0
33125,24296.0,13406.0,53435.0,47802.0,4098.0,63.0,314.0,0.0,187.0,50226.0,14404.0,844.0,2460.0,3635.0,457.0,470.0,71.0,43.0,40.8,44.6,1955.0,795.0,885.0,174500.0,1632.0,15967.0,7006.0,8961.0,2819.0
33126,32221.0,16656.0,47311.0,44703.0,720.0,35.0,378.0,15.0,661.0,45165.0,9964.0,723.0,4269.0,4184.0,894.0,508.0,188.0,41.0,39.6,42.5,1976.0,905.0,1009.0,150300.0,1473.0,9470.0,4469.0,5001.0,2113.0
33127,22633.0,11102.0,30131.0,10830.0,16904.0,144.0,77.0,0.0,579.0,12849.0,5842.0,632.0,958.0,1280.0,195.0,108.0,28.0,33.7,32.4,34.9,1958.0,749.0,871.0,126000.0,1318.0,13800.0,6645.0,7155.0,2393.0
33128,21003.0,13775.0,7458.0,6262.0,466.0,0.0,0.0,0.0,216.0,6746.0,1517.0,142.0,183.0,328.0,82.0,75.0,9.0,40.7,36.1,47.8,1969.0,665.0,726.0,92400.0,1152.0,2749.0,1311.0,1438.0,453.0
33129,54127.0,41352.0,14198.0,13302.0,365.0,16.0,317.0,0.0,21.0,9582.0,1576.0,186.0,1112.0,2907.0,1551.0,1128.0,349.0,38.9,37.5,41.6,1976.0,1335.0,1396.0,322100.0,2378.0,1961.0,768.0,1193.0,72.0
